OBJECTID,Road_Intersect_X,Road_Intersect_Y
252,606776.9662,7935152.135
253,603538.9399,7938727.378
254,506023.8879,7932232.571
255,607229.8866,7933010.302
256,607936.0442,7933134.411
257,611163.4663,7933768.724
258,610851.8123,7932184.121
259,505817.525,7931792.648
260,620025.7602,7942571.09
261,624544.0001,7941638.121
262,627394.4634,7939383.329
263,618962.4961,7943700.368
264,622329.4838,7941652.557
265,621173.9219,7941659.987
266,623486.3042,7941645.048
267,620334.6693,7942242.964
268,620375.468,7942199.626
269,620408.7063,7942164.319
270,620556.5198,7942007.302
271,616511.9686,7945986.177
272,616516.5584,7946733.935
273,616899.5392,7944962.632
274,616759.3264,7945111.491
275,616510.5771,7945759.526
276,616513.3187,7946206.099
277,616513.8386,7946290.797
278,616515.5188,7946564.55
279,616508.4405,7945411.56
280,616515.5516,7946569.883
281,616515.3889,7946543.382
282,535580.4531,7929833.18
283,622474.1166,7934266.83
284,621454.6325,7934553.844
285,621395.5351,7934616.656
286,622332.3692,7934274.779
287,622238.9107,7934275.384
288,622141.2773,7934276.017
289,626738.9111,7932650.081
290,621567.4227,7934433.963
291,626371.6027,7933040.729
292,622327.9535,7934274.807
293,622504.8959,7934273.659
294,675889.5039,7925549.531
295,584623.0193,7933743.388
296,582801.445,7939377.229
297,619210.54,7924869.536
298,593886.3447,7922073.93
299,610258.8294,7929367.451
300,610256.4565,7928962.572
301,611967.1142,7926070.252
302,610250.2443,7927902.971
303,606320.1597,7920539.079
304,670399.3173,7918293.054
305,670973.1602,7918403.595
306,683601.6422,7919018.414
307,683414.7741,7919020.246
308,621420.1603,7921369.504
309,621715.4206,7921367.588
310,530043.0231,7915539.733
311,638565.1966,7915716.81
312,647517.7925,7912881.285
313,648188.4345,7913162.056
314,675170.0239,7916688.055
315,611347.7194,7912535.694
316,641003.4578,7912811.704
317,645009.3698,7910133.987
318,646903.1047,7911375.66
319,646892.3245,7910907.141
320,653201.9164,7909198.723
321,641526.8532,7909931.198
322,646127.7757,7909048.924
323,646284.2111,7908107.225
324,657512.4814,7905807.47
325,657516.65,7906299.496
326,663653.9349,7905496.622
327,663664.8185,7906733.069
328,663545.8854,7907343.913
329,663082.8944,7907839.036
330,630485.7077,7904518.025
331,652238.9094,7904920.253
332,654335.316,7907626.815
333,635559.0919,7902837.731
334,665559.4715,7905190.117
335,664653.6952,7905358.716
336,664045.8236,7905364.091
337,664416.6023,7905360.815
338,605602.132,7900254.816
339,614470.1068,7899692.166
340,619692.3117,7897402.426
341,619194.9095,7897405.647
342,618800.7424,7897408.182
343,619645.6513,7897402.739
344,618887.7865,7904566.738
345,620605.6637,7898849.095
346,620599.6701,7897928.835
347,620599.7291,7897937.893
348,620605.9744,7898896.814
349,620601.6321,7898230.046
350,618902.5616,7906876.559
351,618903.4324,7907012.763
352,660003.1923,7897097.836
353,662793.1628,7902645.499
354,665282.7889,7899739.486
355,645047.1806,7896298.76
356,623910.235,7895723.136
357,623496.9338,7899878.657
358,624099.2502,7896539.497
359,624074.8879,7899262.903
360,633268.9,7897309.656
361,621961.9323,7895150.054
362,620880.4145,7894627.954
363,635153.899,7893024.121
364,553934.524,7891273.165
365,554798.5773,7892453.994
366,588876.2306,7892166.63
367,624731.806,7894847.55
368,624815.5304,7894758.314
369,624884.2388,7894685.081
370,624347.7189,7895256.905
371,624185.8256,7895429.44
372,553167.4807,7890471.094
373,553137.649,7890439.898
374,619574.1307,7894503.795
375,615147.3788,7893572.113
376,610130.4641,7890084.01
377,615635.1424,7893739.277
378,618985.8039,7893893.082
379,617827.3229,7893725.425
380,617113.2406,7893729.965
