Point_ID,Tributary_X,Tributary_Y
325,582802.2682,7980133.663
327,601301.9155,7980045.525
328,607911.6852,7980470.808
333,539653.7189,7987646.475
334,548005.7493,7979790.439
337,565181.0283,7979279.097
339,610549.3787,7979533.752
341,630424.0832,7987248.522
342,644908.0432,7979306.547
344,528625.7588,7978906.875
346,585879.3455,7978737.101
347,588972.986,7981028.326
349,604818.2334,7978643.57
351,639181.3613,7979348.661
353,524662.173,7978912.345
354,526862.8808,7977987.405
358,533908.9357,7977976.31
361,495596.1552,7978466.596
362,499559.6472,7977084.1
363,498678.7205,7980311.041
365,622424.8434,7976695.583
366,624626.9782,7976681.479
370,502201.6592,7976161.983
371,502202.6574,7984920.917
374,549757.9496,7976097.9
376,570894.7339,7976031.761
377,572215.804,7976026.858
379,653274.3389,7978780.823
380,663379.1291,7975469.806
381,659460.7051,7981036.513
384,535665.3389,7975207.107
385,544912.0312,7975187.775
388,550636.2154,7975173.583
389,558138.4068,7980684.636
392,587624.3145,7975040.888
393,592483.6407,7978245.544
395,641797.3231,7975640.637
396,645754.238,7974688.859
399,522014.5241,7974305.533
402,537424.8168,7974281.755
403,537427.5033,7975664.773
405,612276.3834,7973529.78
407,529938.3645,7973372.836
409,605666.2699,7972645.049
411,581017.1965,7974608.76
412,586731.1584,7972278.647
416,507483.8508,7971550.659
418,508364.3043,7971550.296
419,508366.1069,7975699.295
422,550626.5156,7971485.483
423,569560.3451,7972348.383
424,570877.7621,7971421.512
428,627232.9994,7971131.246
429,549302.2531,7970105.875
432,551504.5238,7970561.116
433,557234.238,7972850.016
435,620619.8063,7969790.583
438,628095.1682,7968358.894
439,640899.6033,7973341.597
440,644824.799,7968240.008
443,495596.9973,7974778.61
444,496038.7223,7967863.697
445,501320.6476,7971091.069
446,504841.5618,7967863.495
450,588471.0705,7967660.221
451,589798.08,7969037.217
453,487671.8816,7974314.169
454,495158.6709,7966941.49
458,510122.782,7966939.431
459,510566.7041,7973854.215
462,538290.7148,7966903.892
463,539611.0992,7966901.211
465,551934.7674,7966871.81
466,553255.1699,7966868.19
469,600822.8623,7972671.032
470,602552.1018,7966668.016
471,604775.6008,7970805.64
473,625438.6528,7966070.922
475,482834.8582,7967395.427
476,482836.0957,7966012.415
478,538288.8743,7965981.872
479,566473.6754,7970976.21
480,572617.8449,7965882.601
483,488556.579,7967399.692
484,492518.6645,7965096.63
487,526407.315,7966923.928
490,554130.2338,7965021.656
491,556334.7635,7966398.372
493,593304.103,7965793.106
494,590218.7806,7964885.761
496,601661.9813,7964828.481
497,603862.6295,7964816.682
499,655854.0535,7970920.585
500,661524.2569,7964417.458
501,660253.6859,7970423.261
504,666806.7651,7964372.207
505,666426.5013,7971293.167
507,478863.5321,7976611.524
510,498679.8281,7964176.038
513,510561.3794,7964173.172
514,511881.5532,7964172.399
518,513641.7855,7964171.226
519,506172.7046,8001515.742
523,632564.279,7978011.885
524,645670.303,7963622.244
527,497359.974,7961870.881
529,572163.8255,7962196.022
530,573483.9473,7962190.999
534,537399.6582,7961373.5
536,554999.8253,7961330.995
537,559852.8981,7965465.666
540,636847.4437,7960920.568
541,675649.1698,7968443.981
542,678218.2094,7960579.843
545,531678.1373,7960461.807
548,578756.8704,7960325.851
549,579661.8038,7966315.675
551,632000.1851,7960032.401
553,656223.0408,7962155.613
554,657084.3958,7959842.759
556,659724.9595,7959820.881
557,655387.6028,7967696.283
560,661485.3488,7959806.093
563,653123.5953,7959874.892
565,615726.8202,7961521.096
566,619233.0134,7959194.092
567,619224.3803,7957810.858
570,584904.6461,7957533.231
572,642981.0794,7957186.622
574,670262.8015,7956962.8
575,671171.8186,7960183.01
578,644734.1217,7956251.134
581,581817.142,7955702.514
583,484163.2678,7957715.445
584,489004.4007,7954030.782
586,490763.6978,7954031.716
587,524201.4556,7962777.774
588,524190.3595,7954018.601
590,538264.8738,7953995.537
591,550139.1591,7953506.97
592,552339.5547,7953962.077
593,545760.8011,7961816.344
596,604242.3844,7953748.833
597,606024.9542,7957888.703
599,637241.1258,7954461.99
602,675509.488,7953225.665
604,518031.9236,7953103.403
607,535188.6145,7955384.513
610,590162.1954,7952898.537
612,591041.8797,7952894.352
615,679482.3002,7954572.291
617,487246.3377,7952185.649
619,490764.8156,7951726.671
621,507037.8624,7955876.687
622,509235.408,7952187.681
626,540899.9019,7952145.987
627,542221.3149,7953065.143
630,553214.0768,7952115.55
631,587956.6013,7951525.677
633,483727.6859,7952643.977
634,483728.8681,7951260.946
638,503957.8392,7951267.491
640,506596.3994,7951266.759
643,551011.3978,7950738.502
